Year,Mean,Median,Q1,Q3
2021,3523985.73286052,600000.0,570500.0,3500000.0
2022,4020035.7547393367,725000.0,700000.0,4562500.0
2023,4000408.9166666665,738200.0,720000.0,4162500.0
2024,4292087.607609988,764400.0,740000.0,4137500.0
2025,4435442.834523809,780500.0,760000.0,4250000.0
